Sorted items by pricing:

Price: 13.00, Host Name: Galuh, Neighborhood: Brunnenstr. Nord, Room Type: Shared room
Price: 13.00, Host Name: George, Neighborhood: Brunnenstr. Süd, Room Type: Private room
Price: 13.00, Host Name: Himo, Neighborhood: Spandau Mitte, Room Type: Private room
Price: 13.00, Host Name: Jacqueline, Neighborhood: Neuköllner Mitte/Zentrum, Room Type: Private room
Price: 13.00, Host Name: Jana, Neighborhood: Südliche Friedrichstadt, Room Type: Private room
Price: 13.00, Host Name: Javier, Neighborhood: Neuköllner Mitte/Zentrum, Room Type: Private room
Price: 13.00, Host Name: Katarzyna, Neighborhood: Fennpfuhl, Room Type: Private room
Price: 13.00, Host Name: Katja, Neighborhood: Prenzlauer Berg Süd, Room Type: Private room
Price: 13.00, Host Name: Kim, Neighborhood: Alt  Treptow, Room Type: Private room
Price: 13.00, Host Name: Laurette, Neighborhood: Osloer Straße, Room Type: Private room
Price: 13.00, Host Name: Lisa, Neighborhood: Osloer Straße, Room Type: Private room
Price: 13.00, Host Name: Matt, Neighborhood: Müggelheim, Room Type: Private room
Price: 13.00, Host Name: Mikitsa, Neighborhood: Dammvorstadt, Room Type: Private room
Price: 13.00, Host Name: Miso, Neighborhood: Kantstraße, Room Type: Private room
Price: 13.00, Host Name: Negar, Neighborhood: Ost 1, Room Type: Private room
Price: 13.00, Host Name: Nuri, Neighborhood: Friedrichsfelde Süd, Room Type: Private room
Price: 13.00, Host Name: Oskar, Neighborhood: Rixdorf, Room Type: Private room
Price: 13.00, Host Name: Paula, Neighborhood: Frankfurter Allee Nord, Room Type: Private room
Price: 13.00, Host Name: Philipp, Neighborhood: Weißensee, Room Type: Private room
Price: 13.00, Host Name: Pulci, Neighborhood: Rudow, Room Type: Private room
Price: 13.00, Host Name: Reini, Neighborhood: Wedding Zentrum, Room Type: Private room
Price: 13.00, Host Name: Simon, Neighborhood: Neuköllner Mitte/Zentrum, Room Type: Private room
Price: 13.00, Host Name: Singer Hostel Berlin, Neighborhood: Alexanderplatz, Room Type: Shared room
Price: 13.00, Host Name: Vanessa, Neighborhood: Osloer Straße, Room Type: Private room
Price: 13.00, Host Name: Yvonne, Neighborhood: Köpenick-Nord, Room Type: Private room
Price: 14.00, Host Name: Adelina, Neighborhood: Zehlendorf  Südwest, Room Type: Private room
Price: 14.00, Host Name: Aisling, Neighborhood: Prenzlauer Berg Nordwest, Room Type: Private room
Price: 14.00, Host Name: Andreya, Neighborhood: Schillerpromenade, Room Type: Private room
Price: 14.00, Host Name: Antonin, Neighborhood: Marzahn-Mitte, Room Type: Private room
Price: 14.00, Host Name: Ayla, Neighborhood: Neuköllner Mitte/Zentrum, Room Type: Private room
Price: 14.00, Host Name: Bao, Neighborhood: Moabit West, Room Type: Private room
Price: 14.00, Host Name: Cecilia, Neighborhood: Neuköllner Mitte/Zentrum, Room Type: Private room
Price: 14.00, Host Name: Christian, Neighborhood: Neuköllner Mitte/Zentrum, Room Type: Private room
Price: 14.00, Host Name: Clemens, Neighborhood: Neuköllner Mitte/Zentrum, Room Type: Private room
